Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Cross-reference (Pfam)
Q06204	YL446_YEAST	reviewed	Putative hexokinase YLR446W (EC 2.7.1.1)	YLR446W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	433	PF00349;PF03727;
P48238	YG3O_YEAST	reviewed	Uncharacterized protein YGR153W	YGR153W G6661	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	217	
P0CX57	YA11A_YEAST	reviewed	Transposon Ty1-A Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]	TY1A-A YARCTy1-1 GAG YAR010C P9659.6d	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	440	PF01021;
P38898	YH17_YEAST	reviewed	Putative uncharacterized protein YHR217C	YHR217C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	153	
P18562	UPP_YEAST	reviewed	Uracil phosphoribosyltransferase (UPRTase) (EC 2.4.2.9) (UMP pyrophosphorylase)	FUR1 YHR128W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	216	
P0C269	YB00C_YEAST	reviewed	Uncharacterized protein YBL100W-C	YBL100W-C YBL101W-C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	39	
Q08924	WDR6_YEAST	reviewed	Regulator of Ty1 transposition protein 10 (Endosomal recycling protein 2) (tRNA (guanosine(34)-2'-O)-methyltransferase non-catalytic subunit TRM734)	RTT10 ERE2 TRM734 YPL183C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1013	PF00400;
P38751	SHU1_YEAST	reviewed	Suppressor of HU sensitivity involved in recombination protein 1	SHU1 YHL006C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	150	
Q04658	SMA2_YEAST	reviewed	Spore membrane assembly protein 2	SMA2 YML066C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	369	
P37265	YCR41_YEAST	reviewed	Uncharacterized protein YCR041W	YCR041W YCR41W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	110	
P40445	YIQ6_YEAST	reviewed	Uncharacterized transporter YIL166C	YIL166C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	542	PF07690;
P38185	YBH1_YEAST	reviewed	Uncharacterized protein YBL071C	YBL071C YBL0615	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	102	
Q04608	YD124_YEAST	reviewed	Uncharacterized protein YDR124W	YDR124W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	324	PF11001;
Q03856	YD11A_YEAST	reviewed	Transposon Ty1-DR1 Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]	TY1A-DR1 YDRCTy1-1 GAG YDR098C-A YD8557.07c	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	440	PF01021;
Q07509	YD094_YEAST	reviewed	Putative uncharacterized protein YDL094C	YDL094C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	169	
Q8TGN2	YJ020_YEAST	reviewed	Putative uncharacterized protein YJL020W-A	YJL020W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	85	
Q8TGN1	YJ140_YEAST	reviewed	Putative uncharacterized protein YJR140W-A	YJR140W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	49	
Q07793	YD13B_YEAST	reviewed	Transposon Ty1-DR4 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	TY1B-DR4 YDRCTy1-3 POL YDR261C-D	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1604	PF00665;PF07727;PF01021;
P47121	YJ41_YEAST	reviewed	Putative uncharacterized protein YJR071W	YJR071W J1818	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	122	
Q12301	YD180_YEAST	reviewed	Uncharacterized membrane protein YDL180W	YDL180W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	547	
P38171	YBJ6_YEAST	reviewed	Putative uncharacterized protein YBL096C	YBL096C YBL0834	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	102	
P38240	YBR4_YEAST	reviewed	Putative uncharacterized membrane protein YBR064W	YBR064W YBR0612	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	142	
Q96VH3	YC021_YEAST	reviewed	Putative uncharacterized protein YCL021W-A	YCL021W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	125	
Q02896	YDC1_YEAST	reviewed	Alkaline ceramidase YDC1 (EC 3.5.1.-)	YDC1 YPL087W LPG21W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	317	PF05875;
A0A023PXP4	YL235_YEAST	reviewed	Putative uncharacterized protein YLR235C	YLR235C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	132	
P0CL38	YL66C_YEAST	reviewed	Putative UPF0479 protein YLR466C-A	YLR466C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	160	
A0A023PZH4	YF052_YEAST	reviewed	Putative uncharacterized protein YFR052C-A	YFR052C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	101	
P0CX63	YF21B_YEAST	reviewed	Transposon Ty2-F Gag-Pol polyprotein (TY2A-TY2B) (Transposon Ty2 TYA-TYB polyprotein) [Cleaved into: Capsid protein (CA); Ty2 protease (PR) (EC 3.4.23.-); Integrase (IN); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4)]	TY2B-F YFLWTy2-1 POL YFL002W-A FN01	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1770	PF13976;PF00665;PF07727;PF01021;
P53293	YG3W_YEAST	reviewed	Uncharacterized protein YGR168C	YGR168C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	376	
P53284	YG3G_YEAST	reviewed	Putative uncharacterized protein YGR139W	YGR139W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	112	
P53329	YG5Q_YEAST	reviewed	Uncharacterized protein YGR273C	YGR273C G9371	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	174	PF10295;
O13514	YA042_YEAST	reviewed	Putative uncharacterized protein YAL042C-A	YAL042C-A YAL043C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	125	
P53874	UBP10_YEAST	reviewed	Ubiquitin carboxyl-terminal hydrolase 10 (EC 3.4.19.12) (Deubiquitinating enzyme 10) (Disrupter of telomere silencing protein 4) (Ubiquitin thioesterase 10) (Ubiquitin-specific-processing protease 10)	UBP10 DOT4 YNL186W N1619	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	792	PF00443;
O13527	YA11B_YEAST	reviewed	Truncated transposon Ty1-A Gag-Pol polyprotein (TY1B) (Transposon Ty1 TYB polyprotein) [Cleaved into: Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	TY1B-A YARCTy1-1 POL YAR009C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1196	PF00665;PF07727;
Q02863	UBP16_YEAST	reviewed	Ubiquitin carboxyl-terminal hydrolase 16 (EC 3.4.19.12) (Deubiquitinating enzyme 16) (Ubiquitin thioesterase 16) (Ubiquitin-specific-processing protease 16)	UBP16 YPL072W LPF12W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	499	PF00443;
P53120	YGO0_YEAST	reviewed	Uncharacterized membrane protein YGL140C	YGL140C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1219	PF10337;
A0A023PZD5	YH030_YEAST	reviewed	Putative uncharacterized protein YHL030W-A	YHL030W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	153	
P32772	UGX2_YEAST	reviewed	Protein UGX2	UGX2 YDL169C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	223	
P38293	UMP1_YEAST	reviewed	Proteasome maturation factor UMP1	UMP1 YBR173C YBR1234	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	148	PF05348;
P38280	YSW1_YEAST	reviewed	Spore-specific protein YSW1	YSW1 YBR148W YBR1125	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	609	
Q8TGT0	YM100_YEAST	reviewed	Uncharacterized protein YML100W-A	YML100W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	57	
A0A023PYJ0	YM09A_YEAST	reviewed	Putative uncharacterized membrane protein YML009C-A	YML009C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	108	
Q03099	YMN3_YEAST	reviewed	Y' element ATP-dependent helicase YML133C (EC 3.6.4.12)	YML133C YM4987.01C YM4987.02C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1374	PF00270;PF00271;PF11603;
P53757	YN9A_YEAST	reviewed	Uncharacterized isomerase YNR071C (EC 5.-.-.-)	YNR071C N3605	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	342	PF01263;
P40169	YNT4_YEAST	reviewed	Uncharacterized plasma membrane protein YNL194C	YNL194C N1394	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	301	PF06687;
Q08620	YO200_YEAST	reviewed	Putative uncharacterized protein YOR200W	YOR200W O4824	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	132	
Q08756	YO300_YEAST	reviewed	Putative uncharacterized protein YOR300W	YOR300W O5639	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	102	
P32910	RPC6_YEAST	reviewed	DNA-directed RNA polymerase III subunit RPC6 (RNA polymerase III subunit C6) (C34) (DNA-directed RNA polymerase III 36 kDa polypeptide)	RPC34 YNR003C N2031	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	317	PF05158;
P40048	PTP3_YEAST	reviewed	Tyrosine-protein phosphatase 3 (EC 3.1.3.48) (Protein-tyrosine phosphatase 3) (PTPase 3)	PTP3 YER075C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	928	PF00581;PF00102;
Q6WNK7	SUS1_YEAST	reviewed	Transcription and mRNA export factor SUS1	SUS1 YBR111W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	96	PF10163;
P0CX33	RS30A_YEAST	reviewed	40S ribosomal protein S30-A (Small ribosomal subunit protein eS30-A)	RPS30A YLR287C-A L8003.23 YLR287BC	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	63	PF04758;
P32613	TCA17_YEAST	reviewed	TRAPP-associated protein TCA17 (17 kDa TRAPP complex-associated protein)	TCA17 YEL048C SYGP-ORF36	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	152	PF04628;
P47066	YJC2_YEAST	reviewed	Putative uncharacterized protein YJL009W	YJL022W J1284	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	102	
P36061	YKO7_YEAST	reviewed	Putative uncharacterized protein YKL147C	YKL147C YKL601	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	205	
Q04177	UTP5_YEAST	reviewed	U3 small nucleolar RNA-associated protein 5 (U3 snoRNA-associated protein 5) (U three protein 5) (U3 protein 5 required for transcription) (t-UTP5)	UTP5 YDR398W D9509.17	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	643	PF04003;
Q12339	UTP23_YEAST	reviewed	rRNA-processing protein UTP23 (U three protein 23) (U3 small nucleolar RNA-associated protein 23) (U3 snoRNA-associated protein 23)	UTP23 YOR004W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	254	PF04900;
P36050	YKQ9_YEAST	reviewed	Putative uncharacterized protein YKL169C	YKL169C YKL633	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	127	
P34251	YKK7_YEAST	reviewed	Uncharacterized oxidoreductase YKL107W (EC 1.-.-.-)	YKL107W YKL462	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	309	PF00106;
P0CX71	YE11A_YEAST	reviewed	Transposon Ty1-ER1 Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]	TY1A-ER1 YERCTy1-1 GAG YER137C-A YER138C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	440	PF01021;
Q8TGR3	YE158_YEAST	reviewed	Putative uncharacterized protein YER158W-A	YER158W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	71	
P0CX61	YF21A_YEAST	reviewed	Transposon Ty2-F Gag polyprotein (TY2A) (TYA) (Transposon Ty2 protein A) [Cleaved into: Capsid protein (CA); Gag-p4]	TY2A-F YFLWTy2-1 GAG YFL002W-B F006	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	438	PF01021;
Q12085	YG11A_YEAST	reviewed	Transposon Ty1-GR1 Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]	TY1A-GR1 YGRWTy1-1 GAG YGR027W-A G4052	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	440	PF01021;
P50083	YG4T_YEAST	reviewed	Putative uncharacterized protein YGR226C	YGR226C G8544	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	69	
P53155	YGI2_YEAST	reviewed	Uncharacterized protein YGL082W	YGL082W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	381	PF04424;
P53156	YGI1_YEAST	reviewed	Uncharacterized protein YGL081W	YGL081W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	320	PF00498;
P53105	YGS7_YEAST	reviewed	Putative uncharacterized protein YGL177W	YGL177W BIB115	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	115	
P53098	YGT8_YEAST	reviewed	Putative uncharacterized protein YGL188C	YGL188C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	57	
A0A023PZE4	YH165_YEAST	reviewed	Putative uncharacterized protein YHR165W-A	YHR165W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	103	
P38887	YH02_YEAST	reviewed	Uncharacterized protein YHR202W	YHR202W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	602	
P14680	YAK1_YEAST	reviewed	Dual specificity protein kinase YAK1 (EC 2.7.12.1)	YAK1 YJL141C J0652	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	807	PF00069;
P40017	YAT2_YEAST	reviewed	Carnitine O-acetyltransferase YAT2 (EC 2.3.1.7)	YAT2 YER024W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	923	PF00755;
Q2V2Q3	YB201_YEAST	reviewed	Putative uncharacterized protein YBR201C-A	YBR201C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	67	
Q3E7Z3	YI018_YEAST	reviewed	Uncharacterized protein YIR018C-A	YIR018C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	45	
P38299	YB34_YEAST	reviewed	Uncharacterized protein YBR184W	YBR184W YBR1306	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	523	
P38338	YB9F_YEAST	reviewed	Uncharacterized protein YBR259W	YBR259W YBR1727	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	688	
Q7LHG5	YI31B_YEAST	reviewed	Transposon Ty3-I Gag-Pol polyprotein (Gag3-Pol3) (Transposon Ty3-2 TYA-TYB polyprotein) [Cleaved into: Capsid protein (CA) (p24); Spacer peptide p3; Nucleocapsid protein p11 (NC); Ty3 protease (PR) (EC 3.4.23.-) (p16); Spacer peptide J; Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (p55); Integrase p52 (IN); Integrase p49 (IN)]	TY3B-I YILWTy3-1 POL YIL082W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1498	PF17921;PF12384;PF17919;PF00665;PF00078;
P33890	TIR2_YEAST	reviewed	Cold shock-induced protein TIR2 (Serine-rich protein 2) (TIP1-related protein 2)	TIR2 SRP2 YOR010C O2553 UND251	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	251	PF00399;PF00660;
P38359	SUL1_YEAST	reviewed	Sulfate permease 1 (High-affinity sulfate transporter 1)	SUL1 SFP2 YBR294W YBR2110	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	859	PF01740;PF00916;
Q12222	YGK3_YEAST	reviewed	Glycogen synthase kinase-3 homolog YGK3 (EC 2.7.11.1)	YGK3 YOL128C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	375	PF00069;
Q03322	TLG1_YEAST	reviewed	t-SNARE affecting a late Golgi compartment protein 1 (Syntaxin TLG1)	TLG1 YDR468C D8035.11	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	224	
P48164	RS7B_YEAST	reviewed	40S ribosomal protein S7-B (Small ribosomal subunit protein eS7-B)	RPS7B YNL096C N2212	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	190	PF01251;
P38987	TEM1_YEAST	reviewed	Protein TEM1	TEM1 YML064C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	245	PF00071;
Q12121	YD211_YEAST	reviewed	Uncharacterized protein YDL211C	YDL211C D1026	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	372	
Q04434	YD535_YEAST	reviewed	Putative uncharacterized protein YDR535C	YDR535C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	166	
P38268	YBW6_YEAST	reviewed	Putative uncharacterized protein YBR116C	YBR116C YBR0911	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	175	
P25561	YCC1_YEAST	reviewed	Putative uncharacterized protein YCL021W	YCL021W YCL21W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	117	
P36109	YKZ2_YEAST	reviewed	Putative uncharacterized protein YKR012C	YKR012C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	125	
Q03619	YE12B_YEAST	reviewed	Transposon Ty1-ER2 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	TY1B-ER2 YERCTy1-2 POL YER160C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1755	PF00665;PF07727;PF01021;
Q02203	YKY5_YEAST	reviewed	Uncharacterized protein YKR005C	YKR005C YK104	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	525	
P36031	YKW3_YEAST	reviewed	Putative UPF0377 protein YKL223W	YKL223W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	110	
Q12253	YL046_YEAST	reviewed	Uncharacterized membrane protein YLR046C	YLR046C L2111	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	270	PF04479;
A0A023PXJ7	YE107_YEAST	reviewed	Putative uncharacterized membrane protein YER107W-A	YER107W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	106	
A0A023PXK2	YE148_YEAST	reviewed	Putative uncharacterized membrane protein YER148W-A	YER148W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	192	
Q06235	YL162_YEAST	reviewed	Protein YLR162W	YLR162W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	118	
P0CE98	YL161_YEAST	reviewed	Putative uncharacterized protein YLR161W	YLR161W L9632.5	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	114	
P0C2J4	YL21A_YEAST	reviewed	Transposon Ty2-LR1 Gag polyprotein (TY2A) (TYA) (Transposon Ty2 protein A) [Cleaved into: Capsid protein (CA); Gag-p4]	TY2A-LR1 YLRWTy2-1 GAG YLR410W-A L9931.7b	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	438	PF01021;
P0CX93	YH21D_YEAST	reviewed	Uncharacterized protein YHR214C-D	YHR214C-D	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	97	
P53061	ZIP2_YEAST	reviewed	Protein ZIP2 (Zipping up meiotic chromosomes protein 2)	ZIP2 YGL249W NRC704	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	704	
P40041	VHR2_YEAST	reviewed	Transcription factor VHR2 (VHT1 regulator 2)	VHR2 YER064C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	505	PF04001;
P38374	YSY6_YEAST	reviewed	Protein YSY6	YSY6 YBR162W-A YBR162BW	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	65	PF06624;
Q03675	YMO7_YEAST	reviewed	Uncharacterized protein YMR007W	YMR007W YM8270.09	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	126	
